bin,avg_x,std_x,avg_y,std_y,sum_networth,sum_kills,sum_deaths,n_roshans,n_pushes,n_wards,hero_density,sum_networth_radiant,sum_networth_dire,net_worth_diff,abs_net_worth_diff,core_r_x,core_r_y,core_r_networth,core_r_kills,core_r_deaths,mid_r_x,mid_r_y,mid_r_networth,mid_r_kills,mid_r_deaths,hard_r_x,hard_r_y,hard_r_networth,hard_r_kills,hard_r_deaths,h_sup_r_x,h_sup_r_y,h_sup_r_networth,h_sup_r_kills,h_sup_r_deaths,sup_r_x,sup_r_y,sup_r_networth,sup_r_kills,sup_r_deaths,core_d_x,core_d_y,core_d_networth,core_d_kills,core_d_deaths,mid_d_x,mid_d_y,mid_d_networth,mid_d_kills,mid_d_deaths,hard_d_x,hard_d_y,hard_d_networth,hard_d_kills,hard_d_deaths,h_sup_d_x,h_sup_d_y,h_sup_d_networth,h_sup_d_kills,h_sup_d_deaths,sup_d_x,sup_d_y,sup_d_networth,sup_d_kills,sup_d_deaths,label,win,time
20,127.9688723,37.524856253464186,127.94021,21.73065765078197,35896,8,10,0,0,27,8,17950,17946,4,4,175.44946,94.50488,5570.0,0.0,0.0,127.03467,127.7793,5044.0,3.0,1.0,63.092773,124.16089,3726.0,0.0,2.0,125.94507,127.94336,1623.0,0.0,1.0,122.67505,120.72925,1987.0,1.0,1.0,79.88599,166.82178,5641.0,3.0,1.0,114.64282,156.85449,4340.0,1.0,1.0,160.87085,127.48755,3928.0,0.0,0.0,131.18921,131.70532,2342.0,0.0,1.0,178.90283,101.41528,1695.0,0.0,2.0,push,0,00:10:00
21,130.49875400000002,31.814272678873827,127.97583,30.72034656073579,37609,8,10,0,0,27,8,18653,18956,-303,303,170.8518,80.62036,5900.0,0.0,0.0,121.17163,92.75879,5089.0,3.0,1.0,78.2583,147.2793,3964.0,0.0,2.0,122.65625,107.78589,1668.0,0.0,1.0,120.72632,113.9812,2032.0,1.0,1.0,96.30957,185.53735,5843.0,3.0,1.0,132.81006,137.20044,4762.0,1.0,1.0,146.14355,128.67065,4124.0,0.0,0.0,129.98584,152.62354,2487.0,0.0,1.0,186.07422,133.30078,1740.0,0.0,2.0,def,0,00:10:30
22,128.5970958,32.50996141947839,126.519263,24.73784888858997,39964,8,10,0,0,28,10,19883,20081,-198,198,164.91504,88.3728,6225.0,0.0,0.0,118.565674,121.15552,5450.0,3.0,1.0,77.23071,153.12793,4304.0,0.0,2.0,127.642334,113.97778,1668.0,0.0,1.0,120.43506,113.08765,2236.0,1.0,1.0,88.97632,165.87793,6261.0,3.0,1.0,132.28052,130.64624,4977.0,1.0,1.0,160.87378,127.90015,4335.0,0.0,0.0,115.55176,152.05615,2651.0,0.0,1.0,179.49976,98.99048,1857.0,0.0,2.0,farm,0,00:11:00
23,149.01379200000002,32.07191988036534,129.5184806,23.40476501843252,41672,8,10,0,0,29,9,20668,21004,-336,336,173.08691,94.263916,6586.0,0.0,0.0,156.20532,121.156006,5576.0,3.0,1.0,102.44238,131.40576,4562.0,0.0,2.0,159.7915,120.115234,1663.0,0.0,1.0,162.1123,114.97974,2281.0,1.0,1.0,123.57422,184.60571,6390.0,3.0,1.0,120.21704,138.32275,5316.0,1.0,1.0,191.53809,138.0542,4620.0,0.0,0.0,112.63818,133.42358,2696.0,0.0,1.0,188.53198,118.85791,1982.0,0.0,2.0,farm,0,00:11:30
24,145.497363,29.53245596211133,131.0231195,27.546307253068104,44879,8,10,0,1,30,8,22239,22640,-401,401,159.78589,121.091064,7142.0,0.0,0.0,148.93335,118.70923,5761.0,3.0,1.0,111.60986,127.366455,5026.0,0.0,2.0,157.47705,121.528076,1846.0,0.0,1.0,154.65088,120.71362,2464.0,1.0,1.0,95.72754,184.65698,6928.0,3.0,1.0,127.62988,159.32544,5603.0,1.0,1.0,180.19507,142.21411,5131.0,0.0,0.0,128.93286,134.16382,2850.0,0.0,1.0,190.03125,80.4624,2128.0,0.0,2.0,push,0,00:12:00
25,121.1934575,20.235520422895423,144.18469299999998,13.709423279460044,46791,9,11,0,1,35,10,22864,23927,-1063,1063,153.73975,123.65454,7519.0,0.0,0.0,125.11304,153.49854,5663.0,3.0,2.0,81.04785,168.79126,5378.0,0.0,2.0,128.32788,130.19922,1893.0,0.0,1.0,122.34546,139.33447,2411.0,1.0,1.0,93.88672,161.86353,7331.0,3.0,1.0,122.248535,143.2898,5908.0,1.0,1.0,128.24341,139.13281,5307.0,0.0,0.0,123.81201,141.23364,3269.0,1.0,1.0,133.16992,140.84912,2112.0,0.0,2.0,gang,0,00:12:30
26,115.1182134,24.87927365650576,120.6444575,30.18022277714499,50787,11,13,0,2,36,9,24521,26266,-1745,1745,164.82373,97.505615,8125.0,0.0,0.0,74.45703,77.974365,5800.0,3.0,2.0,90.43506,131.75537,5899.0,0.0,2.0,119.18921,117.02075,2100.0,0.0,2.0,117.12305,137.2522,2597.0,1.0,2.0,94.267334,188.33105,7754.0,3.0,1.0,117.356445,122.40161,6434.0,1.0,1.0,118.258545,118.474365,6146.0,2.0,0.0,132.83057,91.84668,3536.0,1.0,1.0,122.44116,123.88257,2396.0,0.0,2.0,farm,0,00:13:00
27,124.2760515,35.03897458398973,125.0696765,30.9599497455415,53213,11,13,0,2,36,9,25737,27476,-1739,1739,156.1753,66.26587,8468.0,0.0,0.0,115.686035,126.12988,6106.0,3.0,2.0,68.57251,133.10962,6370.0,0.0,2.0,68.71509,115.08179,2148.0,0.0,2.0,112.30127,128.09033,2645.0,1.0,2.0,123.85303,184.66284,8203.0,3.0,1.0,138.84326,121.13867,6647.0,1.0,1.0,178.10645,119.008545,6503.0,2.0,0.0,138.79663,102.47412,3679.0,1.0,1.0,141.71094,154.7351,2444.0,0.0,2.0,farm,0,00:13:30
28,120.4843504,39.94628358718144,132.5422355,26.90095296096719,55347,11,13,0,2,36,8,26961,28386,-1425,1425,171.42871,100.59326,8949.0,0.0,0.0,105.9187,113.092285,6381.0,3.0,2.0,69.059814,129.59033,6672.0,0.0,2.0,77.64307,156.25024,2233.0,0.0,2.0,129.24365,110.7937,2726.0,1.0,2.0,96.04175,173.82837,8667.0,3.0,1.0,134.89038,135.17871,6882.0,1.0,1.0,191.24756,128.23901,6585.0,2.0,0.0,138.32397,105.32349,3726.0,1.0,1.0,91.0459,172.53296,2526.0,0.0,2.0,farm,0,00:14:00
29,126.2003674,38.99513176632393,127.5529049,29.41479941854776,57583,12,14,0,2,37,9,28151,29432,-1281,1281,175.12427,89.59985,9392.0,1.0,0.0,119.854004,104.997314,6675.0,3.0,2.0,81.99609,152.42163,6894.0,0.0,2.0,97.84253,144.80933,2336.0,0.0,2.0,155.52222,87.5,2854.0,1.0,2.0,79.77124,160.13745,8979.0,3.0,1.0,142.59277,136.05347,7210.0,1.0,1.0,185.56934,131.99536,6995.0,2.0,0.0,137.1023,101.755615,3583.0,1.0,2.0,86.62891,166.25903,2665.0,0.0,2.0,farm,0,00:14:30
30,136.5489505,40.66659052548928,107.7168719,33.24156605642908,59847,12,14,0,2,40,8,29095,30752,-1657,1657,131.91821,66.558105,9769.0,1.0,0.0,87.66235,81.27051,6912.0,3.0,2.0,62.737305,124.920654,7103.0,0.0,2.0,121.44702,122.63428,2410.0,0.0,2.0,172.41626,87.45679,2901.0,1.0,2.0,116.66846,164.7146,9488.0,3.0,1.0,140.31812,154.96729,7571.0,1.0,1.0,182.50342,100.19849,7351.0,2.0,0.0,170.13208,98.2876,3630.0,1.0,2.0,179.68628,76.1604,2712.0,0.0,2.0,farm,0,00:15:00
31,134.20273400000002,33.76087420799447,115.032861,34.79795935657904,62546,13,15,0,2,40,8,30681,31865,-1184,1184,162.41504,91.34375,10315.0,2.0,0.0,99.90796,126.738525,7002.0,3.0,2.0,80.16113,150.34326,7512.0,0.0,2.0,162.14404,89.12305,2784.0,0.0,2.0,149.38892,90.54077,3068.0,1.0,2.0,92.24463,187.91504,9965.0,3.0,1.0,115.22827,133.11255,8087.0,1.0,1.0,158.19897,95.5957,7377.0,2.0,1.0,151.08057,111.213135,3677.0,1.0,2.0,171.25781,74.40283,2759.0,0.0,2.0,team_fight,0,00:15:30
32,123.0289295,26.068508826510545,122.32622139999998,17.99664675655578,66825,15,17,0,3,42,10,33573,33252,321,321,115.20288,118.86719,11067.0,2.0,0.0,118.02612,117.960205,7930.0,4.0,2.0,108.70459,135.969,8085.0,1.0,2.0,113.43262,114.32373,3153.0,0.0,2.0,117.741455,115.507324,3338.0,1.0,2.0,92.29321,162.61499,10564.0,3.0,1.0,104.36279,126.77466,8135.0,1.0,2.0,158.19897,95.5957,7605.0,2.0,1.0,122.95459,127.551025,3759.0,1.0,3.0,179.37207,108.09839,3189.0,0.0,2.0,split-push,0,00:16:00
33,105.3763905,29.80539885949025,135.4326185,28.693085088323787,69230,15,17,0,3,44,9,34515,34715,-200,200,161.61084,84.48389,11452.0,2.0,0.0,101.83765,97.0188,8231.0,4.0,2.0,65.54199,135.35132,8347.0,1.0,2.0,84.30542,156.31592,3150.0,0.0,2.0,107.04077,124.894775,3335.0,1.0,2.0,90.31128,162.1731,11020.0,3.0,1.0,104.36279,126.77466,8246.0,1.0,2.0,123.494385,145.65796,7998.0,2.0,1.0,140.9497,143.41138,3870.0,1.0,3.0,74.30908,178.24438,3581.0,0.0,2.0,push,0,00:16:30
34,97.6341068,25.769340719691787,124.398634,11.204959771238403,72170,16,18,0,4,46,10,35327,36843,-1516,1516,154.8877,118.69238,11972.0,2.0,0.0,114.77051,113.29614,8303.0,4.0,2.0,68.81177,112.27515,8588.0,1.0,2.0,81.312744,127.99097,3082.0,0.0,3.0,113.02246,105.98242,3382.0,1.0,2.0,88.510254,134.75293,11638.0,3.0,1.0,67.70874,124.76807,8752.0,2.0,2.0,96.35913,134.32886,8592.0,2.0,1.0,101.85449,134.88184,4011.0,1.0,3.0,89.10327,137.01758,3850.0,0.0,2.0,team_fight,0,00:17:00
35,116.0513437,25.968577089633023,135.1278086,11.007738011467392,74791,17,19,0,4,47,10,37108,37683,-575,575,110.30493,135.97827,12452.0,2.0,0.0,103.09473,133.77979,8968.0,5.0,2.0,104.84082,136.79297,8989.0,1.0,2.0,101.28955,122.57324,3130.0,0.0,3.0,102.258545,134.52612,3569.0,1.0,2.0,103.502686,161.59009,12209.0,3.0,1.0,96.90796,135.04346,8770.0,2.0,3.0,156.5564,123.6438,8710.0,2.0,1.0,172.00098,126.934326,4059.0,1.0,3.0,109.756836,140.41602,3935.0,0.0,2.0,team_fight,0,00:17:30
36,112.7184094,25.63447600144946,135.68771900000002,26.719624315741097,76903,18,20,0,4,47,9,38095,38808,-713,713,104.4021,144.1665,12587.0,2.0,0.0,106.05908,145.3562,9308.0,6.0,2.0,104.31714,144.74023,9124.0,1.0,2.0,82.94824,136.5791,3265.0,0.0,3.0,118.38379,120.89844,3811.0,1.0,2.0,97.190674,187.63672,12501.0,3.0,1.0,96.90796,135.04346,8817.0,2.0,3.0,160.31519,128.99243,9166.0,2.0,1.0,156.3274,79.00293,4476.0,1.0,3.0,100.33252,134.46118,3848.0,0.0,3.0,Roshan,0,00:18:00
