bin,avg_x,std_x,avg_y,std_y,sum_networth,sum_kills,sum_deaths,n_roshans,n_pushes,n_wards,hero_density,sum_networth_radiant,sum_networth_dire,net_worth_diff,abs_net_worth_diff,core_r_x,core_r_y,core_r_networth,core_r_kills,core_r_deaths,mid_r_x,mid_r_y,mid_r_networth,mid_r_kills,mid_r_deaths,hard_r_x,hard_r_y,hard_r_networth,hard_r_kills,hard_r_deaths,h_sup_r_x,h_sup_r_y,h_sup_r_networth,h_sup_r_kills,h_sup_r_deaths,sup_r_x,sup_r_y,sup_r_networth,sup_r_kills,sup_r_deaths,core_d_x,core_d_y,core_d_networth,core_d_kills,core_d_deaths,mid_d_x,mid_d_y,mid_d_networth,mid_d_kills,mid_d_deaths,hard_d_x,hard_d_y,hard_d_networth,hard_d_kills,hard_d_deaths,h_sup_d_x,h_sup_d_y,h_sup_d_networth,h_sup_d_kills,h_sup_d_deaths,sup_d_x,sup_d_y,sup_d_networth,sup_d_kills,sup_d_deaths,label,win
10,137.19550650000002,37.45545117585661,119.7426031,27.48347535673011,16581,4,4,0,0,13,8,8594,7987,607,607,168.19702,104.69507,2385.0,1.0,0.0,122.78906,120.221436,2090.0,0.0,0.0,83.45044,154.07837,2243.0,0.0,2.0,97.676025,122.21753,977.0,1.0,0.0,166.89209,89.231445,899.0,0.0,0.0,82.88159,166.55347,2564.0,1.0,0.0,141.14355,147.23633,1567.0,0.0,0.0,170.46655,100.22583,1910.0,0.0,0.0,168.74902,101.24536,1060.0,1.0,1.0,169.70972,91.72119,886.0,0.0,1.0,farm,1
11,133.567211,32.93964320510688,127.122681,24.270011724672905,18160,5,5,0,0,17,8,9081,9079,2,2,162.21045,128.09131,2370.0,1.0,1.0,130.05688,116.5564,2347.0,0.0,0.0,71.89404,163.5105,2508.0,0.0,2.0,137.87573,138.42944,1022.0,1.0,0.0,137.55933,111.187256,834.0,0.0,0.0,83.5332,169.10864,2813.0,1.0,0.0,140.27148,126.80078,1812.0,0.0,0.0,175.90405,90.479004,2155.0,0.0,0.0,160.95679,111.56299,1368.0,2.0,1.0,135.41016,115.50049,931.0,0.0,1.0,gang,1
12,139.20900999999998,35.35876865797821,126.1301516,33.79007122924777,19572,7,7,0,0,18,8,10245,9327,918,918,170.86475,85.112305,2488.0,1.0,1.0,121.36206,129.11523,2740.0,1.0,0.0,91.51636,160.9939,2790.0,0.0,2.0,114.30884,129.84009,1133.0,1.0,0.0,156.21289,86.8147,1094.0,1.0,0.0,81.6499,169.85498,2938.0,1.0,0.0,141.71875,115.927246,1812.0,0.0,1.0,175.32593,89.058105,2353.0,0.0,0.0,157.71094,119.69165,1313.0,2.0,1.0,181.41968,174.89331,911.0,0.0,2.0,team_fight,1
13,142.61364759999998,38.09803147540419,111.221655,23.80415263923296,20960,8,9,0,0,18,8,10815,10145,670,670,166.76392,84.39038,2625.0,1.0,1.0,147.49438,109.376465,2869.0,1.0,0.0,67.85718,139.56665,3064.0,0.0,2.0,147.59131,108.60376,1118.0,1.0,0.0,166.27417,84.26245,1139.0,1.0,1.0,79.888916,162.34326,3183.0,1.0,0.0,150.47583,107.24048,1811.0,0.0,2.0,176.18408,96.895996,2574.0,0.0,0.0,147.25537,110.321045,1436.0,2.0,1.0,176.35132,109.216064,1141.0,1.0,2.0,gang,1
14,142.1174081,32.536742862868586,127.2132806,34.24142154642119,22133,8,9,0,0,18,8,11538,10595,943,943,169.37207,86.801025,2830.0,1.0,1.0,133.27002,126.34082,3043.0,1.0,0.0,93.069336,165.77002,3271.0,0.0,2.0,127.535645,130.43628,1210.0,1.0,0.0,152.50635,90.355225,1184.0,1.0,1.0,85.19751,169.39844,3447.0,1.0,0.0,171.46826,171.61108,1856.0,0.0,2.0,176.33838,92.72705,2785.0,0.0,0.0,143.74097,141.69604,1351.0,2.0,1.0,168.67554,96.996826,1156.0,1.0,2.0,gang,1
15,145.9584715,48.7140594248756,122.5877196,25.09139805124788,23042,8,9,0,0,18,7,11867,11175,692,692,193.73535,100.52417,2883.0,1.0,1.0,185.96265,101.03906,3158.0,1.0,0.0,84.751465,160.32349,3422.0,0.0,2.0,86.39209,138.93799,1255.0,1.0,0.0,190.72876,98.91406,1149.0,1.0,1.0,82.09961,166.65576,3708.0,1.0,0.0,123.46948,125.09863,1901.0,0.0,2.0,193.8789,102.62085,2933.0,0.0,0.0,137.59717,119.51343,1432.0,2.0,1.0,180.96924,112.249756,1201.0,1.0,2.0,gang,1
16,117.2628915,39.70648616501592,145.4048834,33.79385817844038,25217,11,12,0,0,20,8,13089,12128,961,961,169.15747,83.20532,3216.0,1.0,1.0,134.12207,91.23828,3408.0,1.0,0.0,80.53052,154.6084,3760.0,1.0,2.0,97.099365,160.5044,1337.0,1.0,1.0,67.16284,168.8003,1368.0,2.0,1.0,93.24365,162.2478,3956.0,1.0,1.0,150.5774,125.250244,2210.0,0.0,2.0,182.29688,178.78125,2905.0,0.0,1.0,112.98486,158.94458,1571.0,2.0,1.0,85.45386,170.46826,1486.0,2.0,2.0,def,1
17,120.2637451,32.83173670107687,137.5926745,27.01118215042516,27195,11,12,0,0,23,8,14328,12867,1461,1461,176.25757,102.16504,3622.0,1.0,1.0,123.102295,128.0227,3676.0,1.0,0.0,93.27173,131.21533,4027.0,1.0,2.0,109.34912,126.880615,1486.0,1.0,1.0,108.21777,136.99023,1517.0,2.0,1.0,81.27734,164.45215,4223.0,1.0,1.0,131.30396,128.12158,2494.0,0.0,2.0,175.33716,104.5874,2952.0,0.0,1.0,113.259766,169.7627,1653.0,2.0,1.0,91.26074,183.729,1545.0,2.0,2.0,gang,1
18,124.6328856,31.073015195415845,134.738209,25.732373577686342,29215,12,13,0,0,23,9,15467,13748,1719,1719,160.01807,85.29468,3667.0,1.0,1.0,129.53955,130.7356,4089.0,2.0,0.0,85.934326,138.92163,4428.0,1.0,2.0,114.50781,117.80908,1657.0,1.0,1.0,126.590576,136.45947,1626.0,2.0,1.0,83.385254,172.08496,4482.0,1.0,1.0,131.73193,147.41309,2609.0,0.0,3.0,179.95142,115.41211,3297.0,0.0,1.0,138.44482,133.02002,1778.0,2.0,1.0,96.2251,170.23145,1582.0,2.0,2.0,gang,1
19,132.9639666,35.12855946714088,130.837208,31.18127374091016,31415,12,13,0,1,26,8,16879,14536,2343,2343,175.29883,92.84839,3989.0,1.0,1.0,132.30176,126.54248,4532.0,2.0,0.0,81.937256,132.8982,4665.0,1.0,2.0,128.60938,98.65845,1982.0,1.0,1.0,155.7024,102.98779,1711.0,2.0,1.0,90.93091,173.95166,4805.0,1.0,1.0,155.61523,137.49341,2654.0,0.0,3.0,178.35547,110.0293,3403.0,0.0,1.0,140.13843,149.2124,2028.0,2.0,1.0,90.75,183.75,1646.0,2.0,2.0,push,1
