bin,avg_x,std_x,avg_y,std_y,sum_networth,sum_kills,sum_deaths,n_roshans,n_pushes,n_wards,hero_density,sum_networth_radiant,sum_networth_dire,net_worth_diff,abs_net_worth_diff,core_r_x,core_r_y,core_r_networth,core_r_kills,core_r_deaths,mid_r_x,mid_r_y,mid_r_networth,mid_r_kills,mid_r_deaths,hard_r_x,hard_r_y,hard_r_networth,hard_r_kills,hard_r_deaths,h_sup_r_x,h_sup_r_y,h_sup_r_networth,h_sup_r_kills,h_sup_r_deaths,sup_r_x,sup_r_y,sup_r_networth,sup_r_kills,sup_r_deaths,core_d_x,core_d_y,core_d_networth,core_d_kills,core_d_deaths,mid_d_x,mid_d_y,mid_d_networth,mid_d_kills,mid_d_deaths,hard_d_x,hard_d_y,hard_d_networth,hard_d_kills,hard_d_deaths,h_sup_d_x,h_sup_d_y,h_sup_d_networth,h_sup_d_kills,h_sup_d_deaths,sup_d_x,sup_d_y,sup_d_networth,sup_d_kills,sup_d_deaths,label,win
22,114.2867673,28.134575675310423,133.8559074,31.89446139210897,37064,5,5,0,2,32,9,17436,19628,-2192,2192,128.71191,88.7583,4027.0,0.0,2.0,117.843994,119.53125,5404.0,0.0,0.0,80.579834,152.53955,4487.0,0.0,1.0,85.74365,147.38086,1670.0,0.0,1.0,110.85132,143.33447,1848.0,1.0,0.0,86.558105,183.76196,5644.0,1.0,0.0,132.09253,131.25122,5082.0,0.0,0.0,166.3584,80.64038,4806.0,2.0,0.0,140.8103,127.166504,2023.0,1.0,1.0,93.31763,164.19458,2073.0,0.0,0.0,push,0
23,117.13061539999998,25.68158319191053,121.962059,31.66061722513825,39038,5,5,0,2,33,10,18655,20383,-1728,1728,129.01709,67.84619,4244.0,0.0,2.0,110.97656,122.29175,5860.0,0.0,0.0,87.666504,135.93457,4771.0,0.0,1.0,110.21094,128.30737,1795.0,0.0,1.0,123.005615,119.50488,1985.0,1.0,0.0,85.19946,170.72534,5919.0,1.0,0.0,140.47705,116.73364,5189.0,0.0,0.0,159.84839,80.38452,5105.0,2.0,0.0,138.65308,115.06543,2018.0,1.0,1.0,86.251465,162.8269,2152.0,0.0,0.0,farm,0
24,117.80012200000002,18.75893029314368,121.0616452,29.49850221967549,41264,6,6,0,2,33,10,19261,22003,-2742,2742,131.13013,77.499756,4413.0,0.0,2.0,124.352295,113.68359,6032.0,0.0,0.0,84.3147,163.96387,4973.0,0.0,1.0,125.93652,115.67261,1861.0,0.0,1.0,121.83911,116.23535,1982.0,1.0,1.0,96.654785,161.42139,6432.0,1.0,0.0,130.79614,107.658936,5551.0,1.0,0.0,131.45581,94.89282,5526.0,2.0,0.0,137.34619,103.90405,2207.0,1.0,1.0,94.17554,155.68408,2287.0,0.0,0.0,team_fight,0
25,110.9225839,34.40211159547883,114.654393,32.40573796286256,43604,7,7,0,2,33,10,21129,22475,-1346,1346,133.35864,68.677,5016.0,0.0,2.0,121.102295,94.97778,6673.0,1.0,0.0,68.30908,121.28906,5225.0,0.0,1.0,82.33301,142.52905,2044.0,0.0,1.0,77.2251,85.05444,2171.0,1.0,1.0,84.7439,161.11108,6731.0,1.0,0.0,135.78394,105.06885,5461.0,1.0,1.0,151.77466,89.35498,5652.0,2.0,0.0,164.49414,115.22241,2255.0,1.0,1.0,90.101074,163.25928,2376.0,0.0,0.0,gang,0
26,121.907716,24.51156891510536,110.402906,33.195029599537456,45955,7,7,0,2,35,10,22217,23738,-1521,1521,131.61206,77.20923,5242.0,0.0,2.0,114.430176,117.52832,6961.0,1.0,0.0,74.37891,81.38452,5443.0,0.0,1.0,93.02051,132.85059,2250.0,0.0,1.0,136.56763,96.0083,2321.0,1.0,1.0,113.233154,162.38794,7075.0,1.0,0.0,132.97339,148.37427,5726.0,1.0,1.0,155.66309,78.559814,6045.0,2.0,0.0,146.60669,73.305176,2360.0,1.0,1.0,120.59155,136.4209,2532.0,0.0,0.0,farm,0
27,114.449903,22.933835176776206,125.2482659,23.16785779044828,47838,7,7,0,2,37,10,23278,24560,-1282,1282,145.63501,76.358154,5544.0,0.0,2.0,112.010254,129.14575,7251.0,1.0,0.0,92.48901,131.39453,5686.0,0.0,1.0,81.31421,146.52368,2415.0,0.0,1.0,117.69092,120.75903,2382.0,1.0,1.0,80.12549,161.33252,7386.0,1.0,0.0,127.93384,128.36963,6028.0,1.0,1.0,137.05127,114.203125,6187.0,2.0,0.0,130.85718,106.99414,2357.0,1.0,1.0,119.391846,137.4021,2602.0,0.0,0.0,farm,0
28,107.1557606,24.096429404149728,117.9423348,5.727421178527339,49962,9,9,0,2,37,9,23766,26196,-2430,2430,174.83911,104.966064,5876.0,0.0,2.0,101.80786,121.04541,7315.0,1.0,0.0,101.67993,118.605225,5900.0,0.0,1.0,97.118164,110.77759,2305.0,0.0,2.0,99.4436,122.467285,2370.0,1.0,2.0,89.93359,117.56299,8018.0,2.0,0.0,100.36987,121.98218,6190.0,1.0,1.0,100.166016,120.8501,6734.0,3.0,0.0,102.239746,122.329834,2523.0,1.0,1.0,103.95972,118.83667,2731.0,0.0,0.0,team_fight,0
29,119.7058581,38.52711891096413,125.0083241,25.93791108270024,52609,11,11,0,2,38,8,24243,28366,-4123,4123,164.30444,70.22583,6174.0,0.0,2.0,101.80786,121.04541,7270.0,1.0,1.0,103.84082,117.67871,5890.0,0.0,2.0,80.69971,100.171875,2417.0,0.0,2.0,67.0188,131.28271,2492.0,1.0,2.0,113.806885,155.25195,8432.0,2.0,0.0,131.1018,147.19287,6593.0,1.0,1.0,192.20703,119.572266,7717.0,5.0,0.0,144.32397,153.40308,2708.0,1.0,1.0,97.947266,134.25854,2916.0,0.0,0.0,farm,0
30,117.3894044,32.75182119512152,156.655493,21.978380501887685,54645,11,11,0,2,40,9,24926,29719,-4793,4793,85.01294,184.00952,6473.0,0.0,2.0,113.430664,148.00244,7494.0,1.0,1.0,88.1167,171.28613,6106.0,0.0,2.0,114.21094,149.80469,2364.0,0.0,2.0,102.41821,133.40088,2489.0,1.0,2.0,98.28516,180.45898,8723.0,2.0,0.0,141.2876,137.63892,7151.0,1.0,1.0,181.01367,174.67969,8028.0,5.0,0.0,159.68066,119.86206,2780.0,1.0,1.0,90.4375,167.41162,3037.0,0.0,0.0,push,0
31,113.9968996,26.603920805395507,155.081274,34.95821886038633,57499,13,13,0,3,41,9,27096,30403,-3307,3307,86.24512,160.82349,6953.0,0.0,2.0,97.55444,173.00977,8377.0,2.0,1.0,87.706055,186.5664,6439.0,0.0,2.0,107.49219,189.33398,2700.0,0.0,3.0,102.95752,141.02051,2627.0,1.0,2.0,105.33472,191.18726,8875.0,3.0,1.0,135.79736,124.01953,7111.0,1.0,1.0,124.353516,123.9707,8183.0,5.0,0.0,175.70996,86.67212,2989.0,1.0,1.0,116.818115,174.20898,3245.0,0.0,0.0,gang,0
