bin,avg_x,std_x,avg_y,std_y,sum_networth,sum_kills,sum_deaths,n_roshans,n_pushes,n_wards,hero_density,sum_networth_radiant,sum_networth_dire,net_worth_diff,abs_net_worth_diff,core_r_x,core_r_y,core_r_networth,core_r_kills,core_r_deaths,mid_r_x,mid_r_y,mid_r_networth,mid_r_kills,mid_r_deaths,hard_r_x,hard_r_x.1,hard_r_x.2,hard_r_x.3,hard_r_y,hard_r_y.1,hard_r_y.2,hard_r_y.3,hard_r_networth,hard_r_networth.1,hard_r_networth.2,hard_r_networth.3,hard_r_kills,hard_r_kills.1,hard_r_kills.2,hard_r_kills.3,hard_r_deaths,hard_r_deaths.1,hard_r_deaths.2,hard_r_deaths.3,sup_r_x,sup_r_y,sup_r_networth,sup_r_kills,sup_r_deaths,core_d_x,core_d_y,core_d_networth,core_d_kills,core_d_deaths,mid_d_x,mid_d_y,mid_d_networth,mid_d_kills,mid_d_deaths,hard_d_x,hard_d_y,hard_d_networth,hard_d_kills,hard_d_deaths,h_sup_d_x,h_sup_d_y,h_sup_d_networth,h_sup_d_kills,h_sup_d_deaths,sup_d_x,sup_d_y,sup_d_networth,sup_d_kills,sup_d_deaths,label
38,140.29375,24.36651412254896,111.055713,33.35862371639955,77319,19,19,0,4,50,8,34809,42510,-7701,7701,94.43408,157.92114,11263.0,3.0,1.0,167.73657,87.53003,8970.0,3.0,1.0,165.55786,162.32495,165.55786,162.32495,84.2312,85.6897,84.2312,85.6897,7393.0,3830.0,7393.0,3830.0,1.0,0.0,1.0,0.0,3.0,4.0,3.0,4.0,165.56958,87.94116,3353.0,1.0,2.0,124.85669,134.52539,11182.0,3.0,1.0,129.92798,91.92944,9548.0,2.0,1.0,138.87134,103.81543,9747.0,4.0,2.0,129.51685,100.44678,4136.0,1.0,2.0,124.1416,176.52686,7897.0,1.0,2.0,farm
39,122.5960453,17.788731850023098,95.3845219,7.40852091702579,79243,21,21,0,4,51,10,35782,43461,-7679,7679,124.471924,95.73706,11777.0,4.0,1.0,74.09375,77.80469,9017.0,3.0,1.0,124.56592,130.28052,124.56592,130.28052,93.305664,94.583984,93.305664,94.583984,7360.0,4019.0,7360.0,4019.0,1.0,0.0,1.0,0.0,3.0,5.0,3.0,5.0,122.892334,94.80469,3609.0,1.0,2.0,125.776855,96.56421,11248.0,3.0,1.0,130.81787,95.8999,9796.0,3.0,2.0,124.47339,98.533936,10012.0,4.0,2.0,128.21045,98.698975,4133.0,1.0,2.0,140.37744,107.91211,8272.0,1.0,2.0,team_fight
40,118.1032476,14.973380965983296,99.6647206,6.631657983551341,82906,25,25,0,4,51,10,35564,47342,-11778,11778,123.89624,95.35205,11531.0,4.0,2.0,112.538086,95.80908,8953.0,3.0,2.0,124.26929,79.19507,124.26929,79.19507,93.538086,104.36621,93.538086,104.36621,7408.0,4067.0,7408.0,4067.0,1.0,0.0,1.0,0.0,4.0,5.0,4.0,5.0,121.02759,89.61743,3605.0,1.0,3.0,124.54663,100.842285,13333.0,7.0,1.0,130.81787,95.8999,9961.0,3.0,2.0,114.13379,110.589355,10570.0,4.0,2.0,119.37793,106.53418,4622.0,1.0,2.0,131.22998,104.09863,8856.0,1.0,2.0,team_fight
41,118.1163321,33.200663720529434,109.9504384,14.74402445703867,84692,25,25,1,4,52,10,35836,48856,-13020,13020,76.38135,84.19043,11578.0,4.0,2.0,112.538086,95.80908,9000.0,3.0,2.0,69.83911,84.48755,69.83911,84.48755,119.16089,137.0061,119.16089,137.0061,7455.0,4114.0,7455.0,4114.0,1.0,0.0,1.0,0.0,4.0,5.0,4.0,5.0,101.693115,111.84326,3689.0,1.0,3.0,149.45654,105.85571,13805.0,7.0,1.0,148.76587,110.281494,10143.0,3.0,2.0,135.65942,101.55322,10984.0,4.0,2.0,152.09863,123.55249,4886.0,1.0,2.0,150.24365,110.25171,9038.0,1.0,2.0,Roshan
42,111.6688966,28.94477744937094,124.3518309,42.02874147697326,87739,25,25,1,5,53,9,36814,50925,-14111,14111,80.2876,158.70654,12017.0,4.0,2.0,97.8125,76.963135,9047.0,3.0,2.0,89.342285,91.184326,89.342285,91.184326,159.22485,77.19141,159.22485,77.19141,7523.0,4222.0,7523.0,4222.0,1.0,0.0,1.0,0.0,4.0,5.0,4.0,5.0,106.96753,121.30664,4005.0,1.0,3.0,114.5022,89.07373,14490.0,7.0,1.0,125.917725,128.18774,10754.0,3.0,2.0,114.58179,78.180664,11453.0,4.0,2.0,112.29028,174.56812,4963.0,1.0,2.0,183.80273,180.11548,9265.0,1.0,2.0,push
43,96.028833,13.228079434806691,103.7772454,36.82686565991581,90835,28,28,1,5,54,10,38031,52804,-14773,14773,78.579346,156.78687,12675.0,5.0,3.0,104.101074,82.13916,9232.0,3.0,2.0,83.02368,95.55591,83.02368,95.55591,155.60742,79.45068,155.60742,79.45068,7764.0,4270.0,7764.0,4270.0,1.0,0.0,1.0,0.0,5.0,5.0,5.0,5.0,98.94653,77.638916,4090.0,1.0,3.0,104.9209,80.083984,15318.0,9.0,1.0,108.56006,79.9668,11101.0,3.0,2.0,103.12427,86.694824,11539.0,4.0,2.0,72.97583,158.6831,5096.0,1.0,3.0,110.50073,80.7207,9750.0,1.0,2.0,gang
44,91.657421,10.484407001666565,95.9119624,32.64288760800427,93404,30,30,1,6,54,8,38065,55339,-17274,17274,78.579346,156.78687,12722.0,5.0,3.0,103.44531,82.284424,9142.0,3.0,3.0,84.04785,88.538086,84.04785,88.538086,83.4021,78.33569,83.4021,78.33569,7811.0,4317.0,7811.0,4317.0,1.0,0.0,1.0,0.0,5.0,5.0,5.0,5.0,91.40625,78.36084,4073.0,1.0,4.0,96.406494,79.392334,16282.0,10.0,1.0,97.666504,82.819336,11499.0,3.0,2.0,101.92529,78.17456,12033.0,5.0,2.0,72.97583,158.6831,5268.0,1.0,3.0,101.58325,80.88037,10257.0,1.0,2.0,push
45,104.9532462,24.273646517134463,112.5092526,20.976337751789465,96982,31,31,1,7,54,10,38614,58368,-19754,19754,101.00757,82.89258,13094.0,5.0,3.0,86.81494,131.48828,9189.0,3.0,3.0,94.96875,92.090576,94.96875,92.090576,94.3457,80.315186,94.3457,80.315186,7946.0,4331.0,7946.0,4331.0,1.0,0.0,1.0,0.0,5.0,6.0,5.0,6.0,77.15039,107.09302,4054.0,1.0,4.0,94.34839,124.5957,17169.0,11.0,1.0,113.177246,135.50854,12094.0,3.0,2.0,101.63867,113.08545,12616.0,5.0,2.0,126.09155,137.34058,5670.0,1.0,3.0,162.24438,118.42749,10819.0,1.0,2.0,push
46,105.1192875,32.05630986595538,109.765625,31.73428188560705,100024,31,31,1,8,57,9,39504,60520,-21016,21016,125.11157,67.004395,13539.0,5.0,3.0,82.627686,101.009766,9525.0,3.0,3.0,99.54346,63.721924,99.54346,63.721924,84.02173,141.23022,84.02173,141.23022,8021.0,4379.0,8021.0,4379.0,1.0,0.0,1.0,0.0,5.0,6.0,5.0,6.0,101.57666,81.486084,4040.0,1.0,4.0,87.02588,115.77759,17695.0,11.0,1.0,107.96118,106.75928,12342.0,3.0,2.0,91.3916,114.85449,13034.0,5.0,2.0,109.373535,107.698975,5758.0,1.0,3.0,182.85938,177.81372,11691.0,1.0,2.0,farm
47,93.9528808,15.848723079808408,101.9661616,14.616042411577274,102361,33,33,1,8,59,10,40061,62300,-22239,22239,88.37891,87.46631,13902.0,5.0,3.0,67.91992,105.70093,9741.0,3.0,3.0,113.71094,85.45801,113.71094,85.45801,85.91455,93.33984,85.91455,93.33984,7868.0,4426.0,7868.0,4426.0,1.0,0.0,1.0,0.0,6.0,6.0,6.0,6.0,113.73193,84.91821,4124.0,1.0,5.0,80.01367,118.58594,17935.0,11.0,1.0,115.083984,127.2561,13325.0,5.0,2.0,92.35571,97.903076,13324.0,5.0,2.0,96.024414,105.03223,5978.0,1.0,3.0,86.85132,113.54443,11738.0,1.0,2.0,gang
48,98.0874029,29.844671007074083,103.1086669,26.208819143085943,105512,33,33,1,10,59,9,40955,64557,-23602,23602,82.19141,92.86279,14102.0,5.0,3.0,81.35254,96.846924,10190.0,3.0,3.0,87.18799,80.82446,87.18799,80.82446,88.08618,95.71387,88.08618,95.71387,7946.0,4507.0,7946.0,4507.0,1.0,0.0,1.0,0.0,6.0,6.0,6.0,6.0,89.487305,88.237305,4210.0,1.0,5.0,92.32886,94.4375,18619.0,11.0,1.0,93.39551,98.91553,13608.0,5.0,2.0,91.26074,100.126465,13896.0,5.0,2.0,101.829834,99.137695,6417.0,1.0,3.0,181.01538,176.72241,12017.0,1.0,2.0,push
49,91.2330317,33.0246604476028,102.3714851,28.23920941291972,108221,34,34,1,10,60,9,41086,67135,-26049,26049,82.822754,93.21265,14558.0,5.0,3.0,72.855225,92.7561,10237.0,3.0,3.0,85.11157,75.65625,85.11157,75.65625,94.413086,75.65625,94.413086,75.65625,7993.0,4004.0,7993.0,4004.0,1.0,0.0,1.0,0.0,6.0,7.0,6.0,7.0,78.14136,90.91016,4294.0,1.0,5.0,80.423584,100.02173,19243.0,12.0,1.0,90.34741,96.8728,14294.0,5.0,2.0,75.153564,99.97095,14282.0,5.0,2.0,88.01587,99.785645,6950.0,1.0,3.0,183.80273,180.11548,12366.0,1.0,2.0,team_fight
